Ультрабук до 8ч без зарядки, 6гб озу, 4 ядра;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_do_8ch_bez_zaryadki_6gb_ozu_4_yadra_1545996317;17 500;м. Проспект Ветеранов
HP EliteBook 840 G1 IPS FullHD ультрабук;https://www.avito.ru/sankt-peterburg/noutbuki/hp_elitebook_840_g1_ips_fullhd_ultrabuk_1042427488;25 000;м. Комендантский проспект
Asus ультрабук E403SA-WX0017T N3700 2Gb 32Gb SSD;https://www.avito.ru/sankt-peterburg/noutbuki/asus_ultrabuk_e403sa-wx0017t_n3700_2gb_32gb_ssd_1365304218;11 990;м. Площадь Ленина
Ультрабук asus UX305FA;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_asus_ux305fa_1218064550;30 000;м. Купчино
Dell e7240 Core i5-4200u ультрабук IPS Экран;https://www.avito.ru/sankt-peterburg/noutbuki/dell_e7240_core_i5-4200u_ultrabuk_ips_ekran_932043875;23 000;м. Комендантский проспект
"Нов.Ультрабук Asus UX330 Core i7, SSD, 13""";https://www.avito.ru/sankt-peterburg/noutbuki/nov.ultrabuk_asus_ux330_core_i7_ssd_13_973692500;55 400;м. Новочеркасская
Нов. Мощный Ультрабук Asus K501UQ Core i7, GeForce;https://www.avito.ru/sankt-peterburg/noutbuki/nov._moschnyy_ultrabuk_asus_k501uq_core_i7_geforce_1123164066;43 000;м. Новочеркасская
Ультрабук Acer aspire V5;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_acer_aspire_v5_1503842660;12 999;м. Новочеркасская
Ультрабук Acer aspire E1-570G /GT 740M/ 8 Gb/ 320;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_acer_aspire_e1-570g_gt_740m_8_gb_320_1462042208;19 999;м. Новочеркасская
Четырехядерный Ультрабук (батарея на 6часов);https://www.avito.ru/sankt-peterburg/noutbuki/chetyrehyadernyy_ultrabuk_batareya_na_6chasov_1313442342;8 000 ;м. Парк Победы
Acer M3 ультрабук (i5\SSD120);https://www.avito.ru/sankt-peterburg/noutbuki/acer_m3_ultrabuk_i5ssd120_808104421?slocation=653240;13 500;
"Ультрабук Dexp, Core i3, 14.0"", SSD, Гарантия";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_dexp_core_i3_14.0_ssd_garantiya_1403737383;14 900;м. Достоевская
Ультрабук PB-acer 2ядра 2гб Intel-hd-1gb bat 4часа;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_pb-acer_2yadra_2gb_intel-hd-1gb_bat_4chasa_1367383277?slocation=653240;7 000 ;
"Ультрабук Dexp на Intel, 14.0"", SSD, Full HD";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_dexp_na_intel_14.0_ssd_full_hd_1107823441;12 900;м. Достоевская
"Игровой Ультрабук Asus K501UQ Core i7, GeForce,15""";https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_ultrabuk_asus_k501uq_core_i7_geforce15_1124095339;43 200;м. Новочеркасская
"13.3"" Asus Zenbook Core i7 + SSD тонкий ультрабук";https://www.avito.ru/sankt-peterburg/noutbuki/13.3_asus_zenbook_core_i7_ssd_tonkiy_ultrabuk_1401906101;35 000;м. Елизаровская
